"apt_name", "apt_info"
"Gopalan Habitat Splendour" ,  "Gopalan Habitat Splendour is a residential complex in Bangalore. It was constructed on 2006. It has around 500 apartments. It has 2 bhk/ 3bhk/4bhk and penthouse apartments. It is located in Brookefield area of Bangalore city in India.  Postal zip code is 560037. It is in east part of Bangalore. The nearby areas are Whitefied/ Marathahalli/ Varthur. The neayby malls are Brookefields mall/ Inox mall/ Nexus Shantinikenan mall."
"Sobha Dream Acres" , "Sobha Dream Acre is a residential complex in Bangalore. It was constructed on 202-. It has around 5100 apartments. It has 2 bhk and studio apartments. It is located in Panathur area of Bangalore city in India. Postal zip code is 560035. It is outer ring road. The nearby areas are  Marathahalli/ Sarajapur. "
